id,tool,category,label,argv,exit_code,timed_out,elapsed_s,trace,stderr_tail
p19_freq,plink1.9,scan,--freq (full scan),--freq,0,False,3.802,traces/p19_freq.jsonl,
p19_missing,plink1.9,scan,--missing,--missing,0,False,3.668,traces/p19_missing.jsonl,
p19_hardy,plink1.9,scan,--hardy,--hardy,0,False,4.193,traces/p19_hardy.jsonl,
p19_het,plink1.9,scan,--het,--het,0,False,3.469,traces/p19_het.jsonl,
p2_freq,plink2,scan,--freq (full scan),--freq,0,False,3.328,traces/p2_freq.jsonl,
p2_missing,plink2,scan,--missing,--missing,0,False,3.338,traces/p2_missing.jsonl,
p2_hardy,plink2,scan,--hardy,--hardy,0,False,3.942,traces/p2_hardy.jsonl,
p2_het,plink2,scan,--het,--het,0,False,3.13,traces/p2_het.jsonl,Warning: 772 autosomal variants skipped because they were monomorphic. You may want to use --read-freq to provide more accurate allele frequency estimates. 
p19_make_bed,plink1.9,output,--make-bed,--make-bed,0,False,9.255,traces/p19_make_bed.jsonl,
p2_make_bed,plink2,output,--make-bed,--make-bed,0,False,5.563,traces/p2_make_bed.jsonl,
p19_recode_A,plink1.9,output,--recode A,--recode A,0,False,36.641,traces/p19_recode_A.jsonl,
p2_export_A,plink2,output,--export A,--export A,0,False,27.575,traces/p2_export_A.jsonl,
p19_freq_chr1,plink1.9,range_filter,--freq --chr 1,--freq --chr 1,0,False,0.515,traces/p19_freq_chr1.jsonl,
p19_freq_chr1_3,plink1.9,range_filter,--freq --chr 1-3,--freq --chr 1-3,0,False,0.815,traces/p19_freq_chr1_3.jsonl,
p2_freq_chr1,plink2,range_filter,--freq --chr 1,--freq --chr 1,0,False,0.466,traces/p2_freq_chr1.jsonl,
p2_freq_chr1_3,plink2,range_filter,--freq --chr 1-3,--freq --chr 1-3,0,False,0.767,traces/p2_freq_chr1_3.jsonl,
p19_freq_bp_window_chr1,plink1.9,range_filter,--freq --chr 1 --from-bp 0 --to-bp 100000,--freq --chr 1 --from-bp 0 --to-bp 100000,0,False,0.421,traces/p19_freq_bp_window_chr1.jsonl,
p2_freq_bp_window_chr1,plink2,range_filter,--freq --chr 1 --from-bp 0 --to-bp 100000,--freq --chr 1 --from-bp 0 --to-bp 100000,0,False,0.36,traces/p2_freq_bp_window_chr1.jsonl,
p19_freq_snp_range,plink1.9,range_filter,--freq --snp rs500000 --window 1000,--freq --snp rs500000 --window 1000,0,False,0.517,traces/p19_freq_snp_range.jsonl,
p19_freq_extract_10,plink1.9,list_filter,--freq --extract <10 SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_10,0,False,0.497,traces/p19_freq_extract_10.jsonl,
p19_freq_extract_1k,plink1.9,list_filter,--freq --extract <1k SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_1k,0,False,0.825,traces/p19_freq_extract_1k.jsonl,
p19_freq_extract_100k,plink1.9,list_filter,--freq --extract <100k SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_100k,0,False,3.01,traces/p19_freq_extract_100k.jsonl,
p19_freq_exclude_10,plink1.9,list_filter,--freq --exclude <10 SNPs>,--freq --exclude /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_10,0,False,3.872,traces/p19_freq_exclude_10.jsonl,
p2_freq_extract_10,plink2,list_filter,--freq --extract <10 SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_10,0,False,0.462,traces/p2_freq_extract_10.jsonl,
p2_freq_extract_1k,plink2,list_filter,--freq --extract <1k SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_1k,0,False,0.798,traces/p2_freq_extract_1k.jsonl,
p2_freq_extract_100k,plink2,list_filter,--freq --extract <100k SNPs>,--freq --extract /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/extract_100k,0,False,3.117,traces/p2_freq_extract_100k.jsonl,
p19_freq_keep_10,plink1.9,sample_filter,--freq --keep <10 samples>,--freq --keep /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/keep_10,0,False,3.832,traces/p19_freq_keep_10.jsonl,
p19_freq_remove_10,plink1.9,sample_filter,--freq --remove <10 samples>,--freq --remove /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/keep_10,0,False,3.734,traces/p19_freq_remove_10.jsonl,
p2_freq_keep_10,plink2,sample_filter,--freq --keep <10 samples>,--freq --keep /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/keep_10,0,False,3.441,traces/p2_freq_keep_10.jsonl,
p19_freq_maf,plink1.9,quality_filter,--freq --maf 0.05,--freq --maf 0.05,0,False,3.716,traces/p19_freq_maf.jsonl,"Warning: --freq and --missing complete BEFORE --geno, --hwe, and --maf in plink's order of operations. "
p19_freq_geno,plink1.9,quality_filter,--freq --geno 0.05,--freq --geno 0.05,0,False,3.727,traces/p19_freq_geno.jsonl,"Warning: --freq and --missing complete BEFORE --geno, --hwe, and --maf in plink's order of operations. "
p19_freq_maf_geno,plink1.9,quality_filter,--freq --maf 0.05 --geno 0.05,--freq --maf 0.05 --geno 0.05,0,False,3.732,traces/p19_freq_maf_geno.jsonl,"Warning: --freq and --missing complete BEFORE --geno, --hwe, and --maf in plink's order of operations. "
p2_freq_maf,plink2,quality_filter,--freq --maf 0.05,--freq --maf 0.05,0,False,3.431,traces/p2_freq_maf.jsonl,
p19_indep_pairwise,plink1.9,ld,--indep-pairwise 50 5 0.1,--indep-pairwise 50 5 0.1,0,False,4.949,traces/p19_indep_pairwise.jsonl,
p2_indep_pairwise,plink2,ld,--indep-pairwise 50 5 0.1,--indep-pairwise 50 5 0.1,0,False,3.669,traces/p2_indep_pairwise.jsonl,
p19_ld_single_pair,plink1.9,ld,--ld rs100 rs101,--ld rs100 rs101,0,False,3.652,traces/p19_ld_single_pair.jsonl,
p19_r2_window,plink1.9,ld,--r2 --ld-window-r2 0.2,--r2 --ld-window-r2 0.2,0,False,5.138,traces/p19_r2_window.jsonl,
p19_pca,plink1.9,pca,--pca 10,--pca 10,0,False,34.736,traces/p19_pca.jsonl,
p2_pca_approx,plink2,pca,--pca approx 10,--pca approx 10,0,False,155.959,traces/p2_pca_approx.jsonl,"Warning: ""--pca approx"" is only recommended for analysis of >5000 samples. "
p19_grm_bin,plink1.9,grm,--make-grm-bin,--make-grm-bin,0,False,34.241,traces/p19_grm_bin.jsonl,
p2_make_king,plink2,grm,--make-king,--make-king,0,False,7.469,traces/p2_make_king.jsonl,
p19_linear,plink1.9,gwas,--linear --pheno <random>,--linear --pheno /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/pheno --allow-no-sex,0,False,34.813,traces/p19_linear.jsonl,
p2_glm,plink2,gwas,--glm --pheno <random>,--glm allow-no-covars --pheno /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/pheno,0,False,4.854,traces/p2_glm.jsonl,
p19_freq_t8,plink1.9,scan_t8,--freq --threads 8,--freq --threads 8,0,False,3.807,traces/p19_freq_t8.jsonl,
p19_missing_t8,plink1.9,scan_t8,--missing --threads 8,--missing --threads 8,0,False,4.02,traces/p19_missing_t8.jsonl,
p19_hardy_t8,plink1.9,scan_t8,--hardy --threads 8,--hardy --threads 8,0,False,4.553,traces/p19_hardy_t8.jsonl,
p19_het_t8,plink1.9,scan_t8,--het --threads 8,--het --threads 8,0,False,3.719,traces/p19_het_t8.jsonl,
p2_freq_t8,plink2,scan_t8,--freq --threads 8,--freq --threads 8,0,False,3.598,traces/p2_freq_t8.jsonl,
p2_missing_t8,plink2,scan_t8,--missing --threads 8,--missing --threads 8,0,False,3.594,traces/p2_missing_t8.jsonl,
p2_hardy_t8,plink2,scan_t8,--hardy --threads 8,--hardy --threads 8,0,False,3.939,traces/p2_hardy_t8.jsonl,
p2_het_t8,plink2,scan_t8,--het --threads 8,--het --threads 8,0,False,3.339,traces/p2_het_t8.jsonl,Warning: 772 autosomal variants skipped because they were monomorphic. You may want to use --read-freq to provide more accurate allele frequency estimates. 
p19_make_bed_t8,plink1.9,output_t8,--make-bed --threads 8,--make-bed --threads 8,0,False,9.645,traces/p19_make_bed_t8.jsonl,
p2_make_bed_t8,plink2,output_t8,--make-bed --threads 8,--make-bed --threads 8,0,False,5.867,traces/p2_make_bed_t8.jsonl,
p19_recode_A_t8,plink1.9,output_t8,--recode A --threads 8,--recode A --threads 8,0,False,36.241,traces/p19_recode_A_t8.jsonl,
p2_export_A_t8,plink2,output_t8,--export A --threads 8,--export A --threads 8,0,False,29.613,traces/p2_export_A_t8.jsonl,
p19_indep_pairwise_t8,plink1.9,ld_t8,--indep-pairwise 50 5 0.1 --threads 8,--indep-pairwise 50 5 0.1 --threads 8,0,False,5.374,traces/p19_indep_pairwise_t8.jsonl,
p2_indep_pairwise_t8,plink2,ld_t8,--indep-pairwise 50 5 0.1 --threads 8,--indep-pairwise 50 5 0.1 --threads 8,0,False,3.846,traces/p2_indep_pairwise_t8.jsonl,
p19_r2_window_t8,plink1.9,ld_t8,--r2 --ld-window-r2 0.2 --threads 8,--r2 --ld-window-r2 0.2 --threads 8,0,False,4.53,traces/p19_r2_window_t8.jsonl,
p19_pca_t8,plink1.9,pca_t8,--pca 10 --threads 8,--pca 10 --threads 8,0,False,29.774,traces/p19_pca_t8.jsonl,
p2_pca_approx_t8,plink2,pca_t8,--pca approx 10 --threads 8,--pca approx 10 --threads 8,0,False,143.648,traces/p2_pca_approx_t8.jsonl,"Warning: ""--pca approx"" is only recommended for analysis of >5000 samples. "
p19_grm_bin_t8,plink1.9,grm_t8,--make-grm-bin --threads 8,--make-grm-bin --threads 8,0,False,29.385,traces/p19_grm_bin_t8.jsonl,
p2_make_king_t8,plink2,grm_t8,--make-king --threads 8,--make-king --threads 8,0,False,6.584,traces/p2_make_king_t8.jsonl,
p19_linear_t8,plink1.9,gwas_t8,--linear --pheno <random> --threads 8,--linear --pheno /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/pheno --allow-no-sex --threads 8,0,False,33.499,traces/p19_linear_t8.jsonl,
p2_glm_t8,plink2,gwas_t8,--glm --pheno <random> --threads 8,--glm allow-no-covars --pheno /home/ubuntu/agents-work/sgkit-dev/biofuse/experiments/io-study/_aux/pheno --threads 8,0,False,4.666,traces/p2_glm_t8.jsonl,
