id,tool,category,label,file,n_reads,bytes_read,min_size,median_size,p99_size,max_size,unique_byte_coverage,coverage_pct,redundancy,sequential_pct,monotonic_pct,max_seek_back,n_passes,elapsed_s,first_offset,last_offset_end,n_streams,n_minor_streams,dominant_stream_bytes_pct
p19_freq,plink1.9,scan,--freq (full scan),bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.782,248692736,248692736,1,1,100.0
p19_freq,plink1.9,scan,--freq (full scan),bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.346,0,25988112,1,0,100.0
p19_freq,plink1.9,scan,--freq (full scan),fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_missing,plink1.9,scan,--missing,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.619,248692736,248692736,1,1,100.0
p19_missing,plink1.9,scan,--missing,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.333,0,25988112,1,0,100.0
p19_missing,plink1.9,scan,--missing,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_hardy,plink1.9,scan,--hardy,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.781,248692736,248692736,1,1,100.0
p19_hardy,plink1.9,scan,--hardy,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.415,0,25988112,1,0,100.0
p19_hardy,plink1.9,scan,--hardy,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_het,plink1.9,scan,--het,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.835,248692736,248692736,1,1,100.0
p19_het,plink1.9,scan,--het,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.314,0,25988112,1,0,100.0
p19_het,plink1.9,scan,--het,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.0,0,24780,0,1,0.0
p2_freq,plink2,scan,--freq (full scan),bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.559,248692736,248692736,1,1,100.0
p2_freq,plink2,scan,--freq (full scan),bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.348,0,25988112,1,0,100.0
p2_freq,plink2,scan,--freq (full scan),fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p2_missing,plink2,scan,--missing,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.704,248692736,248692736,1,1,100.0
p2_missing,plink2,scan,--missing,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.285,0,25988112,1,0,100.0
p2_missing,plink2,scan,--missing,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p2_hardy,plink2,scan,--hardy,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.605,248692736,248692736,1,1,100.0
p2_hardy,plink2,scan,--hardy,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.283,0,25988112,1,0,100.0
p2_hardy,plink2,scan,--hardy,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.0,0,24780,0,1,0.0
p2_het,plink2,scan,--het,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.653,248692736,248692736,1,1,100.0
p2_het,plink2,scan,--het,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.274,0,25988112,1,0,100.0
p2_het,plink2,scan,--het,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_make_bed,plink1.9,output,--make-bed,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.648,248692736,248692736,1,1,100.0
p19_make_bed,plink1.9,output,--make-bed,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.29,0,25988112,1,0,100.0
p19_make_bed,plink1.9,output,--make-bed,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p2_make_bed,plink2,output,--make-bed,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,5.023,248692736,248692736,1,1,100.0
p2_make_bed,plink2,output,--make-bed,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.338,0,25988112,1,0,100.0
p2_make_bed,plink2,output,--make-bed,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_recode_A,plink1.9,output,--recode A,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,2.771,248692736,248692736,1,1,100.0
p19_recode_A,plink1.9,output,--recode A,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.288,0,25988112,1,0,100.0
p19_recode_A,plink1.9,output,--recode A,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p2_export_A,plink2,output,--export A,bed,1901,248693753,1017,131072,131072,131072,248693753,100.0,1.0,99.9,99.9,248692736,1,3.303,248692736,248692736,1,1,100.0
p2_export_A,plink2,output,--export A,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.317,0,25988112,1,0,100.0
p2_export_A,plink2,output,--export A,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_freq_chr1,plink1.9,range_filter,--freq --chr 1,bed,90,11387897,1017,131072,131072,131072,11387897,4.58,1.0,98.9,98.9,248692736,1,0.148,248692736,11386880,1,1,99.99
p19_freq_chr1,plink1.9,range_filter,--freq --chr 1,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.306,0,25988112,1,0,100.0
p19_freq_chr1,plink1.9,range_filter,--freq --chr 1,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p19_freq_chr1_3,plink1.9,range_filter,--freq --chr 1-3,bed,257,33276921,1017,131072,131072,131072,33276921,13.38,1.0,99.6,99.6,248692736,1,0.437,248692736,33275904,1,1,100.0
p19_freq_chr1_3,plink1.9,range_filter,--freq --chr 1-3,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.285,0,25988112,1,0,100.0
p19_freq_chr1_3,plink1.9,range_filter,--freq --chr 1-3,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.0,0,24780,0,1,0.0
p2_freq_chr1,plink2,range_filter,--freq --chr 1,bed,90,11387897,1017,131072,131072,131072,11387897,4.58,1.0,98.9,98.9,248692736,1,0.123,248692736,11386880,1,1,99.99
p2_freq_chr1,plink2,range_filter,--freq --chr 1,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.296,0,25988112,1,0,100.0
p2_freq_chr1,plink2,range_filter,--freq --chr 1,fam,2,24780,8396,12390,16304,16384,24780,100.0,1.0,100.0,100.0,0,0,0.001,0,24780,0,1,0.0
p2_freq_chr1_3,plink2,range_filter,--freq --chr 1-3,bed,257,33276921,1017,131072,131072,131072,33276921,13.38,1.0,99.6,99.6,248692736,1,0.415,248692736,33275904,1,1,100.0
p2_freq_chr1_3,plink2,range_filter,--freq --chr 1-3,bim,201,25988112,16384,131072,131072,131072,25988112,100.0,1.0,100.0,100.0,0,0,0.326,0,25988112,1,0,100.0
